year,team_abbr,wins
2018,PHI,80
2017,PHI,66
2016,PHI,71
2015,PHI,63
2014,PHI,73
2013,PHI,73
2012,PHI,81
2011,PHI,102
2010,PHI,97
2009,PHI,93
2008,PHI,92
2007,PHI,89
2006,PHI,85
2005,PHI,88
2004,PHI,86
2003,PHI,86
2002,PHI,80
2001,PHI,86
2000,PHI,65
2025,PIT,71
2024,PIT,76
2023,PIT,76
2022,PIT,62
2021,PIT,61
2020,PIT,19
2019,PIT,69
2018,PIT,82
2017,PIT,75
2016,PIT,78
2015,PIT,98
2014,PIT,88
2013,PIT,94
2012,PIT,79
2011,PIT,72
2010,PIT,57
2009,PIT,62
2008,PIT,67
2007,PIT,68
2006,PIT,67
2005,PIT,67
2004,PIT,72
2003,PIT,75
2002,PIT,72
2001,PIT,62
2000,PIT,69
2025,SD,90
2024,SD,93
2023,SD,82
2022,SD,89
2021,SD,79
2020,SD,37
2019,SD,70
2018,SD,66
2017,SD,71
2016,SD,68
2015,SD,74
2014,SD,77
2013,SD,76
2012,SD,76
2011,SD,71
2010,SD,90
2009,SD,75
2008,SD,63
2007,SD,89
2006,SD,88
2005,SD,82
2004,SD,87
2003,SD,64
2002,SD,66
2001,SD,79
2000,SD,76
2025,SF,81
2024,SF,80
2023,SF,79
2022,SF,81
2021,SF,107
2020,SF,29
2019,SF,77
2018,SF,73
2017,SF,64
2016,SF,87
2015,SF,84
2014,SF,88
2013,SF,76
2012,SF,94
2011,SF,86
2010,SF,92
2009,SF,88
2008,SF,72
2007,SF,71
2006,SF,76
2005,SF,75
2004,SF,91
2003,SF,100
2002,SF,95
2001,SF,90
2000,SF,97
2025,SEA,90
2024,SEA,85
2023,SEA,88
2022,SEA,90
2021,SEA,90
2020,SEA,27
2019,SEA,68
2018,SEA,89
2017,SEA,78
2016,SEA,86
2015,SEA,76
2014,SEA,87
2013,SEA,71
2012,SEA,75
2011,SEA,67
2010,SEA,61
2009,SEA,85
2008,SEA,61
2007,SEA,88
2006,SEA,78
2005,SEA,69
2004,SEA,63
2003,SEA,93
2002,SEA,93
2001,SEA,116
2000,SEA,91
2025,STL,78
2024,STL,83
2023,STL,71
2022,STL,93
2021,STL,90
2020,STL,30
2019,STL,91
2018,STL,88
2017,STL,83
2016,STL,86
2015,STL,100
2014,STL,90
2013,STL,97
2012,STL,88
2011,STL,90
2010,STL,86
2009,STL,91
2008,STL,86
2007,STL,78
2006,STL,83
2005,STL,100
2004,STL,105
2003,STL,85
2002,STL,97
2001,STL,93
2000,STL,95
2025,TB,77
2024,TB,80
2023,TB,99
2022,TB,86
2021,TB,100
2020,TB,40
2019,TB,96
2018,TB,90
2017,TB,80
2016,TB,68
2015,TB,80
2014,TB,77
2013,TB,92
2012,TB,90
2011,TB,91
2010,TB,96
2009,TB,84
2008,TB,97
2007,TB,66
2006,TB,61
2005,TB,67
2004,TB,70
2003,TB,63
2002,TB,55
2001,TB,62
2000,TB,69
2025,TEX,81
2024,TEX,78
2023,TEX,90
2022,TEX,68
2021,TEX,60
2020,TEX,22
2019,TEX,78
2018,TEX,67
2017,TEX,78
2016,TEX,95
2015,TEX,88
2014,TEX,67
2013,TEX,91
2012,TEX,93
