year,team_abbr,team_name_full,stadium,attendance_total,attendance_game,wins,team,fci,stadium_name,capacity,opened,is_new,is_renovated,renovation_year,notes
2014,CLE,Cleveland Indians,Progressive Field,1437393,17746,85,CLEVELAND,162.24,Progressive Field,34830,1994,0,1,"2014, 2023",Two separate waves of large-scale renovations
2014,COL,Colorado Rockies,Coors Field,2680329,33090,66,COLORADO,201.6,Coors Field,50398,1995,0,0,NA,NA
2014,DET,Detroit Tigers,Comerica Park,2917209,36015,90,DETROIT,219.88,Comerica Park,41083,2000,0,0,NA,Opened in the first year of my selected time window
2014,HOU,Houston Astros,Minute Maid Park,1751829,21628,70,HOUSTON,215.9,Daikin Park,40963,2000,0,1,2017,"Additional seating, concessions, escalators, etc."
2014,KC,Kansas City Royals,Kauffman Stadium,1956482,24154,89,KANSAS CITY,191.91,Kauffman Stadium,40793,1973,0,1,2009,"reduced seating capacity, new entry ticket gates, wider concourses, new concessions/restrooms, outfield kids area, right field sports bar/restaurant"
2014,LAA,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,3095935,38221,98,CALIFORNIA/ANAHEIM/LA,195.6,Angel Stadium,45050,1966,0,0,NA,"Major renovation completed in 1998, just before my selected time period"
2014,LAD,Los Angeles Dodgers,Dodger Stadium,3782337,46696,94,LOS ANGELES DODGERS,217.69,Dodger Stadium,56000,1962,0,1,2019,"$100 million renovation included new center field plaza, sports bar/restaurant, new elevators/escalators, new stadium center main entrance, etc."
2014,MIA,Miami Marlins,Marlins Park,1732283,21386,77,FLORIDA/Miami,221.02,loanDepot Park,37442,2012,1,0,NA,moved from Joe Robbie Center in 2012
2014,MIL,Milwaukee Brewers,Miller Park,2797384,34536,82,MILWAUKEE,176.84,American Family Field,41900,2001,1,1,2024,$500 million publicly funded renovation beginning in 2024
2014,MIN,Minnesota Twins,Target Field,2250606,27785,70,MINNESOTA,215.36,Target Field,39504,2010,1,0,NA,Moved from Metrodome in 2010
2014,NYM,New York Mets,Citi Field,2148808,26528,79,N.Y. METS,229.68,Citi Field,42000,2009,1,0,NA,Replaced Shea Stadium in 2009
2014,NYY,New York Yankees,Yankee Stadium III,3401624,41995,84,N.Y. YANKEES,337.2,Yankee Stadium,50287,2009,1,0,NA,Replaced original Yankee Stadium in 2009
2014,ATH,Oakland Athletics,O.co Coliseum,2003628,24736,88,OAKLAND,200.36,Sutter Health Park,14014,2025,1,0,NA,existing Minor League park; Athletics began using the park in 2025
2014,PHI,Philadelphia Phillies,Citizens Bank Park,2423852,29924,73,PHILADELPHIA,258.18,Citizens Bank Park,43035,2004,1,0,NA,Replaced Veterans Stadium in 2004
2014,PIT,Pittsburgh Pirates,PNC Park,2442564,30155,88,PITTSBURGH,169.28,PNC Park,38362,2001,1,0,NA,Replaced Three Rivers Stadium in 2001; only minor improvements since opening
2014,SD,San Diego Padres,Petco Park,2195373,27103,77,SAN DIEGO,153.45,Petco Park,39860,2004,1,0,NA,Replaced San Diego Stadium in 2004
2014,SF,San Francisco Giants,AT&T Park,3368697,41589,88,SAN FRANCISCO,239.51,Oracle Park,40260,2000,0,1,2020,Bullpen relocation and center field restructuring; motivation was more player safety than fan experience; not feasible to measure direct impact on attendance since 2020 season had no fans
2014,SEA,Seattle Mariners,Safeco Field,2064334,25486,87,SEATTLE,207.8,T-Mobile Park,47574,1999,0,0,NA,NA
2014,STL,St. Louis Cardinals,Busch Stadium III,3540649,43712,90,ST. LOUIS,233.86,Busch Stadium,43975,2006,1,0,NA,replaced Busch Memorial Stadium in 2006
2014,TB,Tampa Bay Rays,Tropicana Field,1446464,17858,77,TAMPA BAY,170.02,Tropicana Field,25025,1998,0,1,2014,"major renovations in 2014; roof destroyed by hurricane in 2024, so they played at an alternate (smaller) venue in 2025"
2014,TEX,Texas Rangers,Globe Life Park in Arlington,2718733,33565,67,TEXAS,203.14,Globe Life Field,40300,2020,1,0,NA,Replaced Globe Life Park in 2020
2014,TOR,Toronto Blue Jays,Rogers Centre,2375525,29327,83,TORONTO,217.69,Rogers Centre,41500,1989,0,1,2022,"$400 million two-phase renovation--reoriented seats, new outfield social spaces, reduced capacity. Also worth noting that TOR played elsewhere in 2020 and early 2021 due to COVID-related border closures"
2014,WAS,Washington Nationals,Nationals Park,2579389,31844,96,WASHINGTON,227.96,Nationals Park,41565,2008,1,0,NA,Opened 2008; replacement stadium for the team moving from Montreal
2013,ARI,Arizona Diamondbacks,Chase Field,2134895,26357,81,ARIZONA,122.53,Chase Field,48633,1998,0,0,NA,NA
2013,ATL,Atlanta Braves,Turner Field,2548679,31465,96,ATLANTA,170.78,Truist Park,41500,2017,1,0,NA,replaced Turner Field
2013,BAL,Baltimore Orioles,Oriole Park at Camden Yards,2357561,29106,85,BALTIMORE,169.06,Oriole Park,45971,1992,0,1,2011,"seat replacement, suite renovation, capacity reduced"
2013,BOS,Boston Red Sox,Fenway Park,2833333,34979,97,BOSTON,336.99,Fenway Park,37673,1912,0,1,2003,"multi-phase renovation between 2002-2011; seats added in Green Monster and roof areas, luxury boxes, overhaul of concourse"
2013,CHC,Chicago Cubs,Wrigley Field,2642682,32626,66,CHICAGO CUBS,298.2,Wrigley Field,41649,1914,0,1,2014,1060 Project--privately funded renovation completed in phases between 2014-2019
2013,CWS,Chicago White Sox,U.S. Cellular Field,1768413,21832,63,CHICAGO WHITE SOX,210.18,Rate Field,40615,1991,0,1,"2001, 2015","Major $118M overhaul 2001–2004 (seats, concourses, capacity cut); incremental upgrades 2015–2019"
2013,CIN,Cincinnati Reds,Great American Ball Park,2492101,31151,90,CINCINNATI,165.39,Great American Ball Park,45814,2003,1,0,NA,replaced Cinergy Field
2013,CLE,Cleveland Indians,Progressive Field,1572926,19419,92,CLEVELAND,157.36,Progressive Field,34830,1994,0,1,"2014, 2023",Two separate waves of large-scale renovations
2013,COL,Colorado Rockies,Coors Field,2793828,34492,74,COLORADO,196.6,Coors Field,50398,1995,0,0,NA,NA
2013,DET,Detroit Tigers,Comerica Park,3083397,38067,93,DETROIT,207.42,Comerica Park,41083,2000,0,0,NA,Opened in the first year of my selected time window
2013,HOU,Houston Astros,Minute Maid Park,1651883,20394,51,HOUSTON,224.33,Daikin Park,40963,2000,0,1,2017,"Additional seating, concessions, escalators, etc."
2013,KC,Kansas City Royals,Kauffman Stadium,1750754,21614,86,KANSAS CITY,172.32,Kauffman Stadium,40793,1973,0,1,2009,"reduced seating capacity, new entry ticket gates, wider concourses, new concessions/restrooms, outfield kids area, right field sports bar/restaurant"
2013,LAA,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,3019505,37278,78,CALIFORNIA/ANAHEIM/LA,196.16,Angel Stadium,45050,1966,0,0,NA,"Major renovation completed in 1998, just before my selected time period"
2013,LAD,Los Angeles Dodgers,Dodger Stadium,3743527,46216,92,LOS ANGELES DODGERS,204.95,Dodger Stadium,56000,1962,0,1,2019,"$100 million renovation included new center field plaza, sports bar/restaurant, new elevators/escalators, new stadium center main entrance, etc."
2013,MIA,Miami Marlins,Marlins Park,1586322,19584,62,FLORIDA/Miami,230.05,loanDepot Park,37442,2012,1,0,NA,moved from Joe Robbie Center in 2012
2013,MIL,Milwaukee Brewers,Miller Park,2531105,31248,74,MILWAUKEE,176.8,American Family Field,41900,2001,1,1,2024,$500 million publicly funded renovation beginning in 2024
2013,MIN,Minnesota Twins,Target Field,2477644,30588,66,MINNESOTA,221.36,Target Field,39504,2010,1,0,NA,Moved from Metrodome in 2010
2013,NYM,New York Mets,Citi Field,2135657,26366,74,N.Y. METS,223.7,Citi Field,42000,2009,1,0,NA,Replaced Shea Stadium in 2009
2013,NYY,New York Yankees,Yankee Stadium III,3279589,40489,85,N.Y. YANKEES,324.3,Yankee Stadium,50287,2009,1,0,NA,Replaced original Yankee Stadium in 2009
2013,ATH,Oakland Athletics,O.co Coliseum,1809302,22337,96,OAKLAND,180.48,Sutter Health Park,14014,2025,1,0,NA,existing Minor League park; Athletics began using the park in 2025
2013,PHI,Philadelphia Phillies,Citizens Bank Park,3012403,37190,73,PHILADELPHIA,257.16,Citizens Bank Park,43035,2004,1,0,NA,Replaced Veterans Stadium in 2004
2013,PIT,Pittsburgh Pirates,PNC Park,2256862,27862,94,PITTSBURGH,164.84,PNC Park,38362,2001,1,0,NA,Replaced Three Rivers Stadium in 2001; only minor improvements since opening
2013,SD,San Diego Padres,Petco Park,2166691,26749,76,SAN DIEGO,151.94,Petco Park,39860,2004,1,0,NA,Replaced San Diego Stadium in 2004
2013,SF,San Francisco Giants,AT&T Park,3369106,41087,76,SAN FRANCISCO,237.87,Oracle Park,40260,2000,0,1,2020,Bullpen relocation and center field restructuring; motivation was more player safety than fan experience; not feasible to measure direct impact on attendance since 2020 season had no fans
2013,SEA,Seattle Mariners,Safeco Field,1761546,21747,71,SEATTLE,203.78,T-Mobile Park,47574,1999,0,0,NA,NA
2013,STL,St. Louis Cardinals,Busch Stadium III,3369769,41602,97,ST. LOUIS,230.94,Busch Stadium,43975,2006,1,0,NA,replaced Busch Memorial Stadium in 2006
2013,TB,Tampa Bay Rays,Tropicana Field,1510300,18646,92,TAMPA BAY,155.54,Tropicana Field,25025,1998,0,1,2014,"major renovations in 2014; roof destroyed by hurricane in 2024, so they played at an alternate (smaller) venue in 2025"
2013,TEX,Texas Rangers,Rangers Ballpark in Arlington,3178273,38759,91,TEXAS,196.13,Globe Life Field,40300,2020,1,0,NA,Replaced Globe Life Park in 2020
2013,TOR,Toronto Blue Jays,Rogers Centre,2536562,31316,74,TORONTO,229.84,Rogers Centre,41500,1989,0,1,2022,"$400 million two-phase renovation--reoriented seats, new outfield social spaces, reduced capacity. Also worth noting that TOR played elsewhere in 2020 and early 2021 due to COVID-related border closures"
2013,WAS,Washington Nationals,Nationals Park,2652422,32746,86,WASHINGTON,236.46,Nationals Park,41565,2008,1,0,NA,Opened 2008; replacement stadium for the team moving from Montreal
2012,ARI,Arizona Diamondbacks,Chase Field,2177617,26884,81,ARIZONA,145.94,Chase Field,48633,1998,0,0,NA,NA
2012,ATL,Atlanta Braves,Turner Field,2420171,29879,94,ATLANTA,171.74,Truist Park,41500,2017,1,0,NA,replaced Turner Field
2012,BAL,Baltimore Orioles,Oriole Park at Camden Yards,2102240,25954,93,BALTIMORE,176.04,Oriole Park,45971,1992,0,1,2011,"seat replacement, suite renovation, capacity reduced"
2012,BOS,Boston Red Sox,Fenway Park,3043003,37568,69,BOSTON,336.99,Fenway Park,37673,1912,0,1,2003,"multi-phase renovation between 2002-2011; seats added in Green Monster and roof areas, luxury boxes, overhaul of concourse"
2012,CHC,Chicago Cubs,Wrigley Field,2882756,35590,61,CHICAGO CUBS,300.29,Wrigley Field,41649,1914,0,1,2014,1060 Project--privately funded renovation completed in phases between 2014-2019
2012,CWS,Chicago White Sox,U.S. Cellular Field,1965955,24271,85,CHICAGO WHITE SOX,222.98,Rate Field,40615,1991,0,1,"2001, 2015","Major $118M overhaul 2001–2004 (seats, concourses, capacity cut); incremental upgrades 2015–2019"
2012,CIN,Cincinnati Reds,Great American Ball Park,2347251,28978,97,CINCINNATI,165.94,Great American Ball Park,45814,2003,1,0,NA,replaced Cinergy Field
2012,CLE,Cleveland Indians,Progressive Field,1603596,19797,68,CLEVELAND,173.66,Progressive Field,34830,1994,0,1,"2014, 2023",Two separate waves of large-scale renovations
2012,COL,Colorado Rockies,Coors Field,2630458,32475,64,COLORADO,184.2,Coors Field,50398,1995,0,0,NA,NA
2012,DET,Detroit Tigers,Comerica Park,3028033,37383,88,DETROIT,233.49,Comerica Park,41083,2000,0,0,NA,Opened in the first year of my selected time window
2012,HOU,Houston Astros,Minute Maid Park,1607733,19849,55,HOUSTON,224.33,Daikin Park,40963,2000,0,1,2017,"Additional seating, concessions, escalators, etc."
2012,KC,Kansas City Royals,Kauffman Stadium,1739859,21480,72,KANSAS CITY,185.33,Kauffman Stadium,40793,1973,0,1,2009,"reduced seating capacity, new entry ticket gates, wider concourses, new concessions/restrooms, outfield kids area, right field sports bar/restaurant"
2012,LAA,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,3061770,37800,89,CALIFORNIA/ANAHEIM/LA,159.82,Angel Stadium,45050,1966,0,0,NA,"Major renovation completed in 1998, just before my selected time period"
2012,LAD,Los Angeles Dodgers,Dodger Stadium,3324246,41040,86,LOS ANGELES DODGERS,213.36,Dodger Stadium,56000,1962,0,1,2019,"$100 million renovation included new center field plaza, sports bar/restaurant, new elevators/escalators, new stadium center main entrance, etc."
2012,MIA,Miami Marlins,Marlins Park,2219444,27401,69,FLORIDA/Miami,242.47,loanDepot Park,37442,2012,1,0,NA,moved from Joe Robbie Center in 2012
2012,MIL,Milwaukee Brewers,Miller Park,2831385,34955,83,MILWAUKEE,171.52,American Family Field,41900,2001,1,1,2024,$500 million publicly funded renovation beginning in 2024
2012,MIN,Minnesota Twins,Target Field,2776354,34276,66,MINNESOTA,225.14,Target Field,39504,2010,1,0,NA,Moved from Metrodome in 2010
2012,NYM,New York Mets,Citi Field,2242803,27689,74,N.Y. METS,230.44,Citi Field,42000,2009,1,0,NA,Replaced Shea Stadium in 2009
2012,NYY,New York Yankees,Yankee Stadium III,3542406,43733,95,N.Y. YANKEES,324.3,Yankee Stadium,50287,2009,1,0,NA,Replaced original Yankee Stadium in 2009
2012,ATH,Oakland Athletics,O.co Coliseum,1679013,20729,94,OAKLAND,186.55,Sutter Health Park,14014,2025,1,0,NA,existing Minor League park; Athletics began using the park in 2025
2012,PHI,Philadelphia Phillies,Citizens Bank Park,3565718,44021,81,PHILADELPHIA,257.16,Citizens Bank Park,43035,2004,1,0,NA,Replaced Veterans Stadium in 2004
2012,PIT,Pittsburgh Pirates,PNC Park,2091918,25826,79,PITTSBURGH,152.41,PNC Park,38362,2001,1,0,NA,Replaced Three Rivers Stadium in 2001; only minor improvements since opening
2012,SD,San Diego Padres,Petco Park,2123721,26219,76,SAN DIEGO,150.66,Petco Park,39860,2004,1,0,NA,Replaced San Diego Stadium in 2004
2012,SF,San Francisco Giants,AT&T Park,3377371,41696,94,SAN FRANCISCO,224.32,Oracle Park,40260,2000,0,1,2020,Bullpen relocation and center field restructuring; motivation was more player safety than fan experience; not feasible to measure direct impact on attendance since 2020 season had no fans
2012,SEA,Seattle Mariners,Safeco Field,1721920,21258,75,SEATTLE,195.57,T-Mobile Park,47574,1999,0,0,NA,NA
2012,STL,St. Louis Cardinals,Busch Stadium III,3262109,40273,88,ST. LOUIS,224.76,Busch Stadium,43975,2006,1,0,NA,replaced Busch Memorial Stadium in 2006
2012,TB,Tampa Bay Rays,Tropicana Field,1559681,19255,90,TAMPA BAY,153.3,Tropicana Field,25025,1998,0,1,2014,"major renovations in 2014; roof destroyed by hurricane in 2024, so they played at an alternate (smaller) venue in 2025"
2012,TEX,Texas Rangers,Rangers Ballpark in Arlington,3460280,42720,93,TEXAS,183.93,Globe Life Field,40300,2020,1,0,NA,Replaced Globe Life Park in 2020
2012,TOR,Toronto Blue Jays,Rogers Centre,2099663,25922,73,TORONTO,216.89,Rogers Centre,41500,1989,0,1,2022,"$400 million two-phase renovation--reoriented seats, new outfield social spaces, reduced capacity. Also worth noting that TOR played elsewhere in 2020 and early 2021 due to COVID-related border closures"
2012,WAS,Washington Nationals,Nationals Park,2370794,29269,98,WASHINGTON,198.16,Nationals Park,41565,2008,1,0,NA,Opened 2008; replacement stadium for the team moving from Montreal
2011,ARI,Arizona Diamondbacks,Chase Field,2105432,25993,94,ARIZONA,120.96,Chase Field,48633,1998,0,0,NA,NA
2011,ATL,Atlanta Braves,Turner Field,2372940,29296,89,ATLANTA,169.02,Truist Park,41500,2017,1,0,NA,replaced Turner Field
2011,BAL,Baltimore Orioles,Oriole Park at Camden Yards,1755461,21672,69,BALTIMORE,174.1,Oriole Park,45971,1992,0,1,2011,"seat replacement, suite renovation, capacity reduced"
2011,BOS,Boston Red Sox,Fenway Park,3054001,37704,90,BOSTON,339.01,Fenway Park,37673,1912,0,1,2003,"multi-phase renovation between 2002-2011; seats added in Green Monster and roof areas, luxury boxes, overhaul of concourse"
2011,CHC,Chicago Cubs,Wrigley Field,3017966,37259,71,CHICAGO CUBS,305.6,Wrigley Field,41649,1914,0,1,2014,1060 Project--privately funded renovation completed in phases between 2014-2019
2011,CWS,Chicago White Sox,U.S. Cellular Field,2001117,24705,79,CHICAGO WHITE SOX,258.68,Rate Field,40615,1991,0,1,"2001, 2015","Major $118M overhaul 2001–2004 (seats, concourses, capacity cut); incremental upgrades 2015–2019"
2011,CIN,Cincinnati Reds,Great American Ball Park,2213588,27328,79,CINCINNATI,162.24,Great American Ball Park,45814,2003,1,0,NA,replaced Cinergy Field
2011,CLE,Cleveland Indians,Progressive Field,1840835,22726,80,CLEVELAND,170.96,Progressive Field,34830,1994,0,1,"2014, 2023",Two separate waves of large-scale renovations
2011,COL,Colorado Rockies,Coors Field,2909777,35923,73,COLORADO,161,Coors Field,50398,1995,0,0,NA,NA
2011,DET,Detroit Tigers,Comerica Park,2642045,32618,95,DETROIT,207.28,Comerica Park,41083,2000,0,0,NA,Opened in the first year of my selected time window
2011,MIA,Florida Marlins,Sun Life Stadium,1520562,18772,72,FLORIDA/Miami,170.24,loanDepot Park,37442,2012,1,0,NA,moved from Joe Robbie Center in 2012
2011,HOU,Houston Astros,Minute Maid Park,2067016,25519,56,HOUSTON,221.36,Daikin Park,40963,2000,0,1,2017,"Additional seating, concessions, escalators, etc."
2011,KC,Kansas City Royals,Kauffman Stadium,1724450,21290,71,KANSAS CITY,159.8,Kauffman Stadium,40793,1973,0,1,2009,"reduced seating capacity, new entry ticket gates, wider concourses, new concessions/restrooms, outfield kids area, right field sports bar/restaurant"
2011,LAA,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,3166321,39090,86,CALIFORNIA/ANAHEIM/LA,129.5,Angel Stadium,45050,1966,0,0,NA,"Major renovation completed in 1998, just before my selected time period"
2011,LAD,Los Angeles Dodgers,Dodger Stadium,2935139,36236,82,LOS ANGELES DODGERS,226.36,Dodger Stadium,56000,1962,0,1,2019,"$100 million renovation included new center field plaza, sports bar/restaurant, new elevators/escalators, new stadium center main entrance, etc."
2011,MIL,Milwaukee Brewers,Miller Park,3071373,37918,96,MILWAUKEE,160.4,American Family Field,41900,2001,1,1,2024,$500 million publicly funded renovation beginning in 2024
2011,MIN,Minnesota Twins,Target Field,3168116,39113,63,MINNESOTA,213.16,Target Field,39504,2010,1,0,NA,Moved from Metrodome in 2010
2011,NYM,New York Mets,Citi Field,2352596,29044,77,N.Y. METS,241.74,Citi Field,42000,2009,1,0,NA,Replaced Shea Stadium in 2009
2011,NYY,New York Yankees,Yankee Stadium III,3653680,45107,97,N.Y. YANKEES,338.32,Yankee Stadium,50287,2009,1,0,NA,Replaced original Yankee Stadium in 2009
2011,ATH,Oakland Athletics,O.co Coliseum,1476791,18232,74,OAKLAND,178.09,Sutter Health Park,14014,2025,1,0,NA,existing Minor League park; Athletics began using the park in 2025
2011,PHI,Philadelphia Phillies,Citizens Bank Park,3680718,45441,102,PHILADELPHIA,240.66,Citizens Bank Park,43035,2004,1,0,NA,Replaced Veterans Stadium in 2004
2011,PIT,Pittsburgh Pirates,PNC Park,1940429,23956,72,PITTSBURGH,127.71,PNC Park,38362,2001,1,0,NA,Replaced Three Rivers Stadium in 2001; only minor improvements since opening
2011,SD,San Diego Padres,Petco Park,2143018,26457,71,SAN DIEGO,125.81,Petco Park,39860,2004,1,0,NA,Replaced San Diego Stadium in 2004
2011,SF,San Francisco Giants,AT&T Park,3387303,41819,86,SAN FRANCISCO,208.15,Oracle Park,40260,2000,0,1,2020,Bullpen relocation and center field restructuring; motivation was more player safety than fan experience; not feasible to measure direct impact on attendance since 2020 season had no fans
2011,SEA,Seattle Mariners,Safeco Field,1896321,23411,67,SEATTLE,183.59,T-Mobile Park,47574,1999,0,0,NA,NA
2011,STL,St. Louis Cardinals,Busch Stadium III,3093954,38197,90,ST. LOUIS,223.18,Busch Stadium,43975,2006,1,0,NA,replaced Busch Memorial Stadium in 2006
2011,TB,Tampa Bay Rays,Tropicana Field,1529188,18879,91,TAMPA BAY,139.68,Tropicana Field,25025,1998,0,1,2014,"major renovations in 2014; roof destroyed by hurricane in 2024, so they played at an alternate (smaller) venue in 2025"
2011,TEX,Texas Rangers,Rangers Ballpark in Arlington,2946949,36382,96,TEXAS,159.4,Globe Life Field,40300,2020,1,0,NA,Replaced Globe Life Park in 2020
2011,TOR,Toronto Blue Jays,Rogers Centre,1818103,22446,81,TORONTO,212.68,Rogers Centre,41500,1989,0,1,2022,"$400 million two-phase renovation--reoriented seats, new outfield social spaces, reduced capacity. Also worth noting that TOR played elsewhere in 2020 and early 2021 due to COVID-related border closures"
2011,WAS,Washington Nationals,Nationals Park,1940478,24256,80,WASHINGTON,196.34,Nationals Park,41565,2008,1,0,NA,Opened 2008; replacement stadium for the team moving from Montreal
2010,ARI,Arizona Diamondbacks,Chase Field,2056697,25391,65,ARIZONA,115.24,Chase Field,48633,1998,0,0,NA,NA
2010,ATL,Atlanta Braves,Turner Field,2510119,30989,91,ATLANTA,157.69,Truist Park,41500,2017,1,0,NA,replaced Turner Field
2010,BAL,Baltimore Orioles,Oriole Park at Camden Yards,1733019,21395,66,BALTIMORE,172.18,Oriole Park,45971,1992,0,1,2011,"seat replacement, suite renovation, capacity reduced"
2010,BOS,Boston Red Sox,Fenway Park,3046445,37610,89,BOSTON,334.78,Fenway Park,37673,1912,0,1,2003,"multi-phase renovation between 2002-2011; seats added in Green Monster and roof areas, luxury boxes, overhaul of concourse"
2010,CHC,Chicago Cubs,Wrigley Field,3062973,37814,75,CHICAGO CUBS,329.74,Wrigley Field,41649,1914,0,1,2014,1060 Project--privately funded renovation completed in phases between 2014-2019
2010,CWS,Chicago White Sox,U.S. Cellular Field,2194378,27091,88,CHICAGO WHITE SOX,249.6,Rate Field,40615,1991,0,1,"2001, 2015","Major $118M overhaul 2001–2004 (seats, concourses, capacity cut); incremental upgrades 2015–2019"
2010,CIN,Cincinnati Reds,Great American Ball Park,2060550,25439,91,CINCINNATI,151.26,Great American Ball Park,45814,2003,1,0,NA,replaced Cinergy Field
2010,CLE,Cleveland Indians,Progressive Field,1391644,17181,69,CLEVELAND,180.49,Progressive Field,34830,1994,0,1,"2014, 2023",Two separate waves of large-scale renovations
2010,COL,Colorado Rockies,Coors Field,2875245,35497,83,COLORADO,161,Coors Field,50398,1995,0,0,NA,NA
2010,DET,Detroit Tigers,Comerica Park,2461237,30386,81,DETROIT,172.92,Comerica Park,41083,2000,0,0,NA,Opened in the first year of my selected time window
2010,MIA,Florida Marlins,"Estadio Hiram Bithorn, Sun Life Stadium",1524894,18826,80,FLORIDA/Miami,170.24,loanDepot Park,37442,2012,1,0,NA,moved from Joe Robbie Center in 2012
2010,HOU,Houston Astros,Minute Maid Park,2331490,28784,76,HOUSTON,212.16,Daikin Park,40963,2000,0,1,2017,"Additional seating, concessions, escalators, etc."
2010,KC,Kansas City Royals,Kauffman Stadium,1615327,19942,67,KANSAS CITY,161.52,Kauffman Stadium,40793,1973,0,1,2009,"reduced seating capacity, new entry ticket gates, wider concourses, new concessions/restrooms, outfield kids area, right field sports bar/restaurant"
2010,LAA,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,3250814,40134,80,CALIFORNIA/ANAHEIM/LA,131.8,Angel Stadium,45050,1966,0,0,NA,"Major renovation completed in 1998, just before my selected time period"
2010,LAD,Los Angeles Dodgers,Dodger Stadium,3562320,43979,80,LOS ANGELES DODGERS,221.64,Dodger Stadium,56000,1962,0,1,2019,"$100 million renovation included new center field plaza, sports bar/restaurant, new elevators/escalators, new stadium center main entrance, etc."
2010,MIL,Milwaukee Brewers,Miller Park,2776531,34278,77,MILWAUKEE,160.4,American Family Field,41900,2001,1,1,2024,$500 million publicly funded renovation beginning in 2024
2010,MIN,Minnesota Twins,Target Field,3223640,39798,94,MINNESOTA,206.88,Target Field,39504,2010,1,0,NA,Moved from Metrodome in 2010
2010,NYM,New York Mets,Citi Field,2559738,31602,79,N.Y. METS,226.88,Citi Field,42000,2009,1,0,NA,Replaced Shea Stadium in 2009
2010,NYY,New York Yankees,Yankee Stadium III,3765807,46491,95,N.Y. YANKEES,316.32,Yankee Stadium,50287,2009,1,0,NA,Replaced original Yankee Stadium in 2009
2010,ATH,Oakland Athletics,Oakland-Alameda County Coliseum,1418391,17511,81,OAKLAND,179.16,Sutter Health Park,14014,2025,1,0,NA,existing Minor League park; Athletics began using the park in 2025
2010,PHI,Philadelphia Phillies,Citizens Bank Park,3777322,44968,97,PHILADELPHIA,227.46,Citizens Bank Park,43035,2004,1,0,NA,Replaced Veterans Stadium in 2004
2010,PIT,Pittsburgh Pirates,PNC Park,1613399,19919,57,PITTSBURGH,126.56,PNC Park,38362,2001,1,0,NA,Replaced Three Rivers Stadium in 2001; only minor improvements since opening
2010,SD,San Diego Padres,Petco Park,2131774,26318,90,SAN DIEGO,120.6,Petco Park,39860,2004,1,0,NA,Replaced San Diego Stadium in 2004
2010,SF,San Francisco Giants,AT&T Park,3037443,37499,92,SAN FRANCISCO,220.66,Oracle Park,40260,2000,0,1,2020,Bullpen relocation and center field restructuring; motivation was more player safety than fan experience; not feasible to measure direct impact on attendance since 2020 season had no fans
2010,SEA,Seattle Mariners,Safeco Field,2085630,25749,61,SEATTLE,183.6,T-Mobile Park,47574,1999,0,0,NA,NA
2010,STL,St. Louis Cardinals,Busch Stadium III,3301218,40756,86,ST. LOUIS,216.56,Busch Stadium,43975,2006,1,0,NA,replaced Busch Memorial Stadium in 2006
2010,TB,Tampa Bay Rays,Tropicana Field,1864999,23025,96,TAMPA BAY,141,Tropicana Field,25025,1998,0,1,2014,"major renovations in 2014; roof destroyed by hurricane in 2024, so they played at an alternate (smaller) venue in 2025"
2010,TEX,Texas Rangers,Rangers Ballpark in Arlington,2505171,30928,90,TEXAS,167.6,Globe Life Field,40300,2020,1,0,NA,Replaced Globe Life Park in 2020
2010,TOR,Toronto Blue Jays,Rogers Centre,1495482,19173,85,TORONTO,208.21,Rogers Centre,41500,1989,0,1,2022,"$400 million two-phase renovation--reoriented seats, new outfield social spaces, reduced capacity. Also worth noting that TOR played elsewhere in 2020 and early 2021 due to COVID-related border closures"
2010,WAS,Washington Nationals,Nationals Park,1828066,22569,69,WASHINGTON,215.52,Nationals Park,41565,2008,1,0,NA,Opened 2008; replacement stadium for the team moving from Montreal
2009,ARI,Arizona Diamondbacks,Chase Field,2128765,26281,70,ARIZONA,114.24,Chase Field,48633,1998,0,0,NA,NA
2009,ATL,Atlanta Braves,Turner Field,2373631,29304,86,ATLANTA,157.69,Truist Park,41500,2017,1,0,NA,replaced Turner Field
2009,BAL,Baltimore Orioles,Oriole Park at Camden Yards,1907163,23545,64,BALTIMORE,163.68,Oriole Park,45971,1992,0,1,2011,"seat replacement, suite renovation, capacity reduced"
2009,BOS,Boston Red Sox,Fenway Park,3062699,37811,95,BOSTON,326.45,Fenway Park,37673,1912,0,1,2003,"multi-phase renovation between 2002-2011; seats added in Green Monster and roof areas, luxury boxes, overhaul of concourse"
2009,CHC,Chicago Cubs,Wrigley Field,3168859,39611,83,CHICAGO CUBS,305,Wrigley Field,41649,1914,0,1,2014,1060 Project--privately funded renovation completed in phases between 2014-2019
2009,CWS,Chicago White Sox,U.S. Cellular Field,2284163,28200,79,CHICAGO WHITE SOX,224.11,Rate Field,40615,1991,0,1,"2001, 2015","Major $118M overhaul 2001–2004 (seats, concourses, capacity cut); incremental upgrades 2015–2019"
2009,CIN,Cincinnati Reds,Great American Ball Park,1747919,21579,78,CINCINNATI,144.76,Great American Ball Park,45814,2003,1,0,NA,replaced Cinergy Field
