year,team_abbr,team_name_full,stadium,attendance_total,attendance_game,wins,team,fci,stadium_name,capacity,opened,is_new,is_renovated,renovation_year,notes
2024,TB,Tampa Bay Rays,Tropicana Field,1337739,16515,80,NA,NA,Tropicana Field,25025,1998,0,1,2014,"major renovations in 2014; roof destroyed by hurricane in 2024, so they played at an alternate (smaller) venue in 2025"
2024,TEX,Texas Rangers,Globe Life Field,2651553,32735,78,NA,NA,Globe Life Field,40300,2020,1,0,NA,Replaced Globe Life Park in 2020
2024,TOR,Toronto Blue Jays,Rogers Centre,2681236,33102,74,NA,NA,Rogers Centre,41500,1989,0,1,2022,"$400 million two-phase renovation--reoriented seats, new outfield social spaces, reduced capacity. Also worth noting that TOR played elsewhere in 2020 and early 2021 due to COVID-related border closures"
2024,WAS,Washington Nationals,Nationals Park,1967302,24288,71,NA,NA,Nationals Park,41565,2008,1,0,NA,Opened 2008; replacement stadium for the team moving from Montreal
2023,ARI,Arizona Diamondbacks,Chase Field,1961182,24212,84,NA,NA,Chase Field,48633,1998,0,0,NA,NA
2023,ATL,Atlanta Braves,Truist Park,3191505,39401,104,NA,NA,Truist Park,41500,2017,1,0,NA,replaced Turner Field
2023,BAL,Baltimore Orioles,Oriole Park at Camden Yards,1936798,23911,101,NA,NA,Oriole Park,45971,1992,0,1,2011,"seat replacement, suite renovation, capacity reduced"
2023,BOS,Boston Red Sox,Fenway Park,2672130,32989,78,NA,NA,Fenway Park,37673,1912,0,1,2003,"multi-phase renovation between 2002-2011; seats added in Green Monster and roof areas, luxury boxes, overhaul of concourse"
2023,CHC,Chicago Cubs,Wrigley Field,2775149,34261,83,NA,NA,Wrigley Field,41649,1914,0,1,2014,1060 Project--privately funded renovation completed in phases between 2014-2019
2023,CWS,Chicago White Sox,Guaranteed Rate Field,1669628,20613,61,NA,NA,Rate Field,40615,1991,0,1,"2001, 2015","Major $118M overhaul 2001–2004 (seats, concourses, capacity cut); incremental upgrades 2015–2019"
2023,CIN,Cincinnati Reds,Great American Ball Park,2038302,25164,82,NA,NA,Great American Ball Park,45814,2003,1,0,NA,replaced Cinergy Field
2023,CLE,Cleveland Guardians,Progressive Field,1834068,22643,76,NA,NA,Progressive Field,34830,1994,0,1,"2014, 2023",Two separate waves of large-scale renovations
2023,COL,Colorado Rockies,Coors Field,2607935,32197,59,NA,NA,Coors Field,50398,1995,0,0,NA,NA
2023,DET,Detroit Tigers,Comerica Park,1612876,19912,78,NA,NA,Comerica Park,41083,2000,0,0,NA,Opened in the first year of my selected time window
2023,HOU,Houston Astros,Minute Maid Park,3052347,37683,90,NA,NA,Daikin Park,40963,2000,0,1,2017,"Additional seating, concessions, escalators, etc."
2023,KC,Kansas City Royals,Kauffman Stadium,1307052,16136,56,NA,NA,Kauffman Stadium,40793,1973,0,1,2009,"reduced seating capacity, new entry ticket gates, wider concourses, new concessions/restrooms, outfield kids area, right field sports bar/restaurant"
2023,LAA,Los Angeles Angels,Angel Stadium of Anaheim,2640575,32600,73,NA,NA,Angel Stadium,45050,1966,0,0,NA,"Major renovation completed in 1998, just before my selected time period"
2023,LAD,Los Angeles Dodgers,Dodger Stadium,3837079,47371,100,NA,NA,Dodger Stadium,56000,1962,0,1,2019,"$100 million renovation included new center field plaza, sports bar/restaurant, new elevators/escalators, new stadium center main entrance, etc."
2023,MIA,Miami Marlins,loanDepot park,1162819,14356,84,NA,NA,loanDepot Park,37442,2012,1,0,NA,moved from Joe Robbie Center in 2012
2023,MIL,Milwaukee Brewers,American Family Field,2551347,31498,92,NA,NA,American Family Field,41900,2001,1,1,2024,$500 million publicly funded renovation beginning in 2024
2023,MIN,Minnesota Twins,Target Field,1974124,24372,87,NA,NA,Target Field,39504,2010,1,0,NA,Moved from Metrodome in 2010
2023,NYM,New York Mets,Citi Field,2573555,31772,75,NA,NA,Citi Field,42000,2009,1,0,NA,Replaced Shea Stadium in 2009
2023,NYY,New York Yankees,Yankee Stadium III,3269016,40358,82,NA,NA,Yankee Stadium,50287,2009,1,0,NA,Replaced original Yankee Stadium in 2009
2023,ATH,Oakland Athletics,Oakland Coliseum,832352,10276,50,NA,NA,Sutter Health Park,14014,2025,1,0,NA,existing Minor League park; Athletics began using the park in 2025
2023,PHI,Philadelphia Phillies,Citizens Bank Park,3052605,37686,90,NA,NA,Citizens Bank Park,43035,2004,1,0,NA,Replaced Veterans Stadium in 2004
2023,PIT,Pittsburgh Pirates,PNC Park,1630624,20131,76,NA,NA,PNC Park,38362,2001,1,0,NA,Replaced Three Rivers Stadium in 2001; only minor improvements since opening
2023,SD,San Diego Padres,Petco Park,3271554,40390,82,NA,NA,Petco Park,39860,2004,1,0,NA,Replaced San Diego Stadium in 2004
2023,SF,San Francisco Giants,Oracle Park,2500153,30866,79,NA,NA,Oracle Park,40260,2000,0,1,2020,Bullpen relocation and center field restructuring; motivation was more player safety than fan experience; not feasible to measure direct impact on attendance since 2020 season had no fans
2023,SEA,Seattle Mariners,T-Mobile Park,2690418,33215,88,NA,NA,T-Mobile Park,47574,1999,0,0,NA,NA
2023,STL,St. Louis Cardinals,Busch Stadium III,3241091,40013,71,NA,NA,Busch Stadium,43975,2006,1,0,NA,replaced Busch Memorial Stadium in 2006
2023,TB,Tampa Bay Rays,Tropicana Field,1440301,17781,99,NA,NA,Tropicana Field,25025,1998,0,1,2014,"major renovations in 2014; roof destroyed by hurricane in 2024, so they played at an alternate (smaller) venue in 2025"
2023,TEX,Texas Rangers,Globe Life Field,2533044,31272,90,NA,NA,Globe Life Field,40300,2020,1,0,NA,Replaced Globe Life Park in 2020
2023,TOR,Toronto Blue Jays,Rogers Centre,3021904,37307,89,NA,NA,Rogers Centre,41500,1989,0,1,2022,"$400 million two-phase renovation--reoriented seats, new outfield social spaces, reduced capacity. Also worth noting that TOR played elsewhere in 2020 and early 2021 due to COVID-related border closures"
2023,WAS,Washington Nationals,Nationals Park,1865832,23035,71,NA,NA,Nationals Park,41565,2008,1,0,NA,Opened 2008; replacement stadium for the team moving from Montreal
2022,ARI,Arizona Diamondbacks,Chase Field,1605199,19817,74,ARIZONA,152.3,Chase Field,48633,1998,0,0,NA,NA
2022,ATL,Atlanta Braves,Truist Park,3129931,38641,101,ATLANTA,255.82,Truist Park,41500,2017,1,0,NA,replaced Turner Field
2022,BAL,Baltimore Orioles,Oriole Park at Camden Yards,1368367,16893,83,BALTIMORE,203.06,Oriole Park,45971,1992,0,1,2011,"seat replacement, suite renovation, capacity reduced"
2022,BOS,Boston Red Sox,Fenway Park,2625089,32409,78,BOSTON,385.37,Fenway Park,37673,1912,0,1,2003,"multi-phase renovation between 2002-2011; seats added in Green Monster and roof areas, luxury boxes, overhaul of concourse"
2022,CHC,Chicago Cubs,Wrigley Field,2616780,32306,74,CHICAGO CUBS,364.83,Wrigley Field,41649,1914,0,1,2014,1060 Project--privately funded renovation completed in phases between 2014-2019
2022,CWS,Chicago White Sox,Guaranteed Rate Field,2009359,24807,81,CHICAGO WHITE SOX,274.77,Rate Field,40615,1991,0,1,"2001, 2015","Major $118M overhaul 2001–2004 (seats, concourses, capacity cut); incremental upgrades 2015–2019"
2022,CIN,Cincinnati Reds,Great American Ball Park,1395770,17232,62,CINCINNATI,214.36,Great American Ball Park,45814,2003,1,0,NA,replaced Cinergy Field
2022,CLE,Cleveland Guardians,Progressive Field,1295870,15998,92,CLEVELAND,217.87,Progressive Field,34830,1994,0,1,"2014, 2023",Two separate waves of large-scale renovations
2022,COL,Colorado Rockies,Coors Field,2597428,32067,68,COLORADO,208.9,Coors Field,50398,1995,0,0,NA,NA
2022,DET,Detroit Tigers,Comerica Park,1575544,19214,66,DETROIT,216.74,Comerica Park,41083,2000,0,0,NA,Opened in the first year of my selected time window
2022,HOU,Houston Astros,Minute Maid Park,2688998,33198,106,HOUSTON,354.72,Daikin Park,40963,2000,0,1,2017,"Additional seating, concessions, escalators, etc."
2022,KC,Kansas City Royals,Kauffman Stadium,1277686,15774,65,KANSAS CITY,243.62,Kauffman Stadium,40793,1973,0,1,2009,"reduced seating capacity, new entry ticket gates, wider concourses, new concessions/restrooms, outfield kids area, right field sports bar/restaurant"
2022,LAA,Los Angeles Angels,Angel Stadium of Anaheim,2457461,30339,73,CALIFORNIA/ANAHEIM/LA,208.1,Angel Stadium,45050,1966,0,0,NA,"Major renovation completed in 1998, just before my selected time period"
2022,LAD,Los Angeles Dodgers,Dodger Stadium,3861408,47672,111,LOS ANGELES DODGERS,326.91,Dodger Stadium,56000,1962,0,1,2019,"$100 million renovation included new center field plaza, sports bar/restaurant, new elevators/escalators, new stadium center main entrance, etc."
2022,MIA,Miami Marlins,loanDepot park,907487,11204,69,FLORIDA/Miami,186.06,loanDepot Park,37442,2012,1,0,NA,moved from Joe Robbie Center in 2012
2022,MIL,Milwaukee Brewers,American Family Field,2422420,29906,86,MILWAUKEE,251.88,American Family Field,41900,2001,1,1,2024,$500 million publicly funded renovation beginning in 2024
2022,MIN,Minnesota Twins,Target Field,1801128,22236,78,MINNESOTA,226.89,Target Field,39504,2010,1,0,NA,Moved from Metrodome in 2010
